kit,component
Ability Kit,ability_ability_runtime
Ability Kit,ability_dmsfwk
Ability Kit,bundlemanager_bundle_framework
Ability Kit,security_access_token
Accessibility Kit,accessibility
Ads Kit,advertising_ads_framework
Ads Kit,advertising_oaid
ArkData,distributeddatamgr_data_share
ArkData,distributeddatamgr_kv_store
ArkData,distributeddatamgr_preferences
ArkData,distributeddatamgr_relational_store
ArkData,distributeddatamgr_udmf
ArkGraphics 2D,graphic_graphic_2d
ArkGraphics 3D,graphic_graphic_3d
ArkTS,arkcompiler_ets_runtime
ArkUI,arkui_ace_engine
ArkUI,window_window_manager
ArkWeb,web_webview
Asset Store Kit,security_asset
Audio Kit,multimedia_audio_framework
AVCodec Kit,multimedia_av_codec
AVSession Kit,multimedia_av_session
Background Tasks Kit,resourceschedule_background_task_mgr
Background Tasks Kit,resourceschedule_resource_schedule_service
Background Tasks Kit,resourceschedule_work_scheduler
Basic Services Kit,distributeddatamgr_pasteboard
Calendar Kit,applications_calendar_data
Camera Kit,multimedia_camera_framework
Connectivity Kit,communication_bluetooth
Connectivity Kit,communication_nfc
Connectivity Kit,communication_wifi
Contacts Kit,applications_contacts_data
Core File Kit,filemanagement_app_file_service
Core File Kit,filemanagement_dfs_service
Core File Kit,filemanagement_file_api
Core File Kit,filemanagement_storage_service
Core File Kit,filemanagement_user_file_service
Crypto Architecture Kit,security_crypto_framework
Data Protection Kit,security_dlp_permission_service
Device Certificate Kit,security_certificate_framework
Device Certificate Kit,security_certificate_manager
Distributed Service Kit,distributedhardware_device_manager
Driver Development Kit,drivers_external_device_manager
Drm Kit,multimedia_drm_framework
Form Kit,ability_form_fwk
Function Flow Runtime Kit,resourceschedule_ffrt
Game Controller Kit,game_game_controller_framework
Image Kit,multimedia_image_framework
IME kit,inputmethod_imf
IME kit,miscservices_inputmethod
Input Kit,multimodalinput_input
IPC Kit,communication_ipc
Kernel Enhance Kit,kernel_linux_build
Localization Kit,global_i18n
Localization Kit,global_resource_management
Location Kit,base_location
MDM Kit,customization_enterprise_device_management
Mechanic Kit,distributedhardware_mechbody_controller
Media Kit,multimedia_player_framework
Media Kit,multimedia_video_processing_engine
Media Library Kit,multimedia_media_library
MindSpore Lite Kit,third_party_mindspore
Multimodal Awareness Kit,msdp_device_status
Network Kit,communication_netmanager_base
Network Kit,communication_netstack
Network Kit,communication_netmanager_ext
Neural Network Runtime Kit,ai_neural_network_runtime
Notification Kit,notification_common_event_service
Notification Kit,notification_distributed_notification_service
Performance Analysis Kit,developtools_profiler
Performance Analysis Kit,hiviewdfx_hiappevent
Performance Analysis Kit,hiviewdfx_hicollie
Performance Analysis Kit,hiviewdfx_hiview
Sensor Service Kit,sensors_miscdevice
Sensor Service Kit,sensors_sensor
TEE Kit,tee_tee_dev_kit
Telephony Kit,telephony_call_manager
Telephony Kit,telephony_cellular_data
Telephony Kit,telephony_core_service
Telephony Kit,telephony_state_registry
Test Kit,testfwk_arkxtest
Universal Keystore Kit,security_huks
User Authentication Kit,useriam_face_auth
